,Depth,Neurons,Chi2,Pesaran,Portmanteau1,Portmanteau3,Portmanteau5
69,3.0,120.0,0.426756653785446,120.66643756852432,972851.1583583974,921177.7028033354,1634618.9372772719
70,3.0,120.0,1.5636096445871661,55.24970338396304,796929.8031937892,1186605.9731708781,2017143.9717558753
71,3.0,120.0,5.769161269253796,101.43429007649529,1135434.8932250645,1022721.7565142321,1648133.7035313584
72,3.0,120.0,3.162477548576716,110.73830621465929,862891.6016092408,1209741.0764480915,2130696.1423664303
73,3.0,120.0,5.864649213519839,138.07846187466032,923929.8328523241,612051.013218385,1165406.7590944686
74,3.0,120.0,4.354215424808142e-05,69.35945387774747,985455.8670805165,913146.3411179461,2089074.520435836
75,3.0,120.0,3.984379252163501,97.0591791076638,1011199.9548577594,594852.0840813732,1016623.8341190568
76,3.0,120.0,0.2683176400152398,60.03671490285571,1040635.6665717332,820749.5517024902,2199010.871951823
77,3.0,80.0,3.59903118706798,63.413887243435546,776830.0643231253,394633.0364623474,652187.1209341987
78,3.0,80.0,5.848680128449355,79.12911633132158,766917.5253826948,376251.2013574154,683438.5625397218
79,3.0,80.0,6.403842595112393,54.324164669809065,640558.2080047694,301358.5814287918,661115.778704459
80,4.0,120.0,0.4054754258966962,130.4209063678666,217366.35223729265,130347.36352234763,284496.1983347301
81,4.0,120.0,5.3491645349153645,153.41859740481826,251306.54052993126,326541.7091120952,540431.1881909404
82,4.0,120.0,3.0692973384858213,180.2096618971597,199471.86388940393,172549.14086001078,244367.70158389088
83,4.0,100.0,5.048288249061122,104.55127782254742,195279.81836269214,166756.4837343096,285624.59851273446
84,4.0,100.0,1.295651227344473,153.79587639632206,152676.86233753714,58280.672874894335,95524.83924697118
85,4.0,80.0,3.840809884069014,125.9679146130266,72942.15922110499,107789.21742919358,168566.55751436198
86,4.0,80.0,0.23843683666249388,73.83867682491737,249643.82539128093,113764.3133619753,184670.87286844957
87,4.0,80.0,1.911076035486856,126.66397113056941,92372.51230492143,78402.33839583238,124095.84895962985
88,4.0,80.0,0.5316605889076362,109.96124352882737,99656.0611247257,50757.53968965967,76276.9433215855
89,5.0,120.0,0.7935557611712839,205.06314097951034,77240.2089887736,86749.87806299879,158466.3312345094
90,5.0,120.0,0.48463506231970827,153.92255698650342,102631.11191947894,91075.48647827702,143952.93549487783
91,5.0,120.0,6.538126598813476,180.48228286089682,53231.84416177863,30046.723276580316,51361.463594977715
92,5.0,120.0,1.1854351494040167,223.608322899797,72606.14300221301,49418.69346299867,65428.17728147496
93,5.0,120.0,6.090502367604637,190.07294336748515,101254.33916916755,167723.4364124325,241698.98495873695
94,5.0,120.0,2.2239590703750065,247.90491354158385,44781.52548178879,42697.337389164924,86198.2318816579
95,5.0,100.0,0.14146845915201656,207.52937271359897,66148.18347200999,178974.11856342046,238769.76471307361
96,5.0,100.0,2.9661350895335548,180.01609349058091,54127.6329456359,61957.12869173909,98286.56380974759
97,5.0,100.0,3.1742230446851356,248.9878896807503,36930.02146168387,35959.96173248831,54166.451038290514
98,5.0,80.0,0.004800522505850976,187.46956310708157,41316.930637914535,74971.07083773949,110935.75551729513
99,5.0,80.0,0.03789255973439286,176.69263308485213,42528.903316991986,64697.19168489164,101040.72471538784
